call_id,utterance_number,speaker,text,has_profanity,profane_words
2db2965e-54fa-41fa-823b-ed79b943f0b1,1,agent,"Hello, this is Emma from XYZ Collections, how are you today?",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,2,customer,"I'm fine, but I really don't have time for this right now.",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,3,agent,"I understand, I'll be brief. I'm calling about your overdue account with XYZ Bank.",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,4,customer,"Look, I've told you before, I want my number on the do not call list.",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,5,agent,I apologize for that. I will ensure your number is added to the do not call list right away.,False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,6,customer,"Thank you, that's what I've been asking for.",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,7,agent,"You're welcome! Your request has been processed, and you won't receive further calls.",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,8,customer,"Good, that’s all I wanted.",False,
2db2965e-54fa-41fa-823b-ed79b943f0b1,9,agent,Thank you for your understanding. Have a great day!,False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,1,agent,"Hello, this is Mark from XYZ Collections. How are you today?",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,2,customer,"I'm doing well, thank you. What can I help you with?",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,3,agent,"I’m calling regarding an outstanding balance with your account. Before we proceed, can you please verify your date of birth?",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,4,customer,"Sure, it's January 15, 1985.",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,5,agent,Thank you for that. Can you also confirm your current address for verification?,False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,6,customer,"Yes, it's 123 Maple Street, Springfield.",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,7,agent,Thank you for verifying your identity. You currently have a balance of $250. How would you like to proceed with payment?,False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,8,customer,I can pay half of it today and the rest next week.,False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,9,agent,"That sounds reasonable. So, you'll be paying $125 today, correct?",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,10,customer,"Yes, that's correct.",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,11,agent,"Great! How would you like to make that payment? We accept online, over the phone, or by mail.",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,12,customer,I'll do it online.,False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,13,agent,Perfect! I'll send you an email with the payment link and details. Thank you for your time today.,False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,14,customer,"Thank you, I appreciate your help.",False,
8a9655a7-be88-4921-b0ad-04aa1b9953d1,15,agent,You're welcome! Have a great day.,False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,1,agent,"Hello, this is Mark calling from XYZ Collections. Am I speaking with Sarah?",False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,2,customer,"No, this is not Sarah. You must have the wrong number.",False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,3,agent,I apologize for the mix-up. I was contacting Sarah about an outstanding balance with XYZ Bank.,False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,4,customer,I really don’t know a Sarah. Are you sure you dialed correctly?,False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,5,agent,Let me double-check that. Could I confirm the number I dialed is 555-1234?,False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,6,customer,"Yes, that's my number, but I assure you I'm not Sarah.",False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,7,agent,Thank you for clarifying that. I will update our records to ensure this number is removed.,False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,8,customer,I appreciate that. Thank you for your help.,False,
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,9,agent,You're welcome! Have a great day!,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,1,agent,"Hello, this is Mark calling from XYZ Collections. How are you doing today?",False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,2,customer,"I'm okay, thanks. What is this about?",False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,3,agent,I appreciate your time. I'm calling regarding a debt associated with your account. Can you please verify your date of birth?,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,4,customer,"Sure, it's January 15, 1990.",False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,5,agent,Thank you for that information. Can you also confirm your current address?,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,6,customer,"Yes, it’s 123 Elm Street, Springfield.",False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,7,agent,Thank you for verifying your identity. I see that you have an outstanding balance of $250. How would you like to proceed with payment?,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,8,customer,I can pay $100 today and the rest next month.,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,9,agent,That sounds reasonable. I’ll note that down. Can you provide your payment method?,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,10,customer,I’ll use my credit card.,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,11,agent,Perfect. Please hold while I process that for you.,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,12,customer,"Okay, I’m holding.",False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,13,agent,Thank you for your patience. Your partial payment has been processed successfully.,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,14,customer,Great! Thank you for your help.,False,
c86714f0-3aeb-4628-8cfa-ee0a46839508,15,agent,You’re welcome! Have a great day.,False,
0c8297aa-ced1-414e-a175-bf29a9763d30,1,agent,"Hello, this is Mike from XYZ Collections. Am I speaking with Jessica?",False,
